"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"5113","5113","Тюменская область",2007-01-01,"5113",3299781.76202873,132.642197407595,3714.73823461679,8259.5537326277,108.872467876335,501042.961342429,0.00250269758303915,24251.6845624957,6.27777777777779,41593.7600000048,49427.1800000054,5.71727272727273,860,14.1966666666667,861,12.8666666666667,28299.3333333333,69.25,"High usage",1761.33321058473
"5114","5114","Тюменская область",2007-04-01,"5114",3303687.40716838,115.513352735929,1857.71490893888,8437.831707825,108.08339894914,501024.156017676,0.00255384714881683,25007.6987684519,4.19000000000003,42767.8000000048,50834.5500000054,4.40363636363637,38483,14.59,821,17.9333333333333,327.666666666667,63,"High usage",1763.79198953721
"5115","5115","Тюменская область",2007-07-01,"5115",3308650.82256981,105.105577664166,892.188337167795,8463.13898759861,108.145465536402,504377.284406115,0.00255801046343719,26035.0071029779,3.03888888888888,42741.4800000049,51053.5200000056,3.21636363636365,55627,14.46,861,20.6,299.666666666667,65,"High usage",1821.92938947624
"5116","5116","Тюменская область",2007-10-01,"5116",3314672.00823304,101.418872192308,818.158519303534,8335.47557194852,109.058667638121,511102.346507745,0.00251518752690225,27333.6095660737,6.52444444444443,43171.4100000051,50898.4900000057,4.51848484848486,45803,14.59,740.666666666667,17.9333333333333,154,54,"Low usage",1935.74541040182
"5117","5117","Тюменская область",2008-01-01,"5117",3321750.96415806,104.453236320353,1635.6254553461,8054.84146087473,110.823005254298,521199.342322568,0.00242537833921034,28903.5061577393,1.19888888888889,43314.7600000051,48767.0300000057,-7.86827586206896,51817,14.9333333333333,770.666666666667,16.7333333333333,702.666666666667,60,"High usage",2105.24005231396
"5118","5118","Тюменская область",2008-04-01,"5118",3328124.96086484,105.56568744343,2166.20204762766,7946.65123209531,111.831538199049,519961.498842436,0.00238789554001977,29986.8583313097,2.6111111111111,44764.5400000051,49256.8800000058,-7.83655172413793,1208,14.9333333333333,807.333333333333,18.8666666666667,8195.33333333333,68.91,"High usage",2188.78188815323
"5119","5119","Тюменская область",2008-07-01,"5119",3333793.99835338,104.756225561538,2409.88829614835,8010.90488561024,112.084266472375,507388.816067349,0.0024027391293292,30583.666086785,3.42777777777778,45330.4600000052,49800.0300000059,-6.79275862068963,678,14.9333333333333,1476.66666666667,16.3333333333333,27869.3333333333,68.91,"High usage",2186.37091791963
"5120","5120","Тюменская область",2008-10-01,"5120",3338758.07662369,102.024850674677,2366.68420090803,8247.60242141953,111.581190074276,483481.293997307,0.00246990910714017,30693.9294241652,2.29000000000001,44756.7800000053,49651.730000006,-5.93413793103447,45803,15.8433333333333,1476.66666666667,17.0333333333333,427,61,"High usage",2098.00714161317
"5121","5121","Тюменская область",2009-01-01,"5121",3343017.19567575,97.3715627828475,2036.58976190671,8656.74383952319,110.322309004752,448238.93263231,0.00258940547345131,30317.6483434503,-0.271111111111139,44821.3800000055,47311.5900000059,-2.33333333333331,169,14.51,859.666666666667,17.8,4681,69,"High usage",1923.69055923384
"5122","5122","Тюменская область",2009-04-01,"5122",3348191.56502628,94.5096225129766,1792.51608154709,8975.30287095536,109.385832975042,424672.073366343,0.00268077663860638,30364.8765737842,1.53222222222223,44302.1100000054,46289.9900000061,0.411111111111097,208,14.99,868.333333333333,15.7333333333333,4547.33333333333,65.95,"High usage",1787.08770258858
