"","Возраст","Пол","Напиток"
"627",74.5,2,"Мартини или вермут"
"628",76.5,2,"Пиво"
"629",78,1,"Пиво"
"630",78,1,"Водка"
"631",54,2,"Коньяк или виски"
"632",54,2,"Мартини или вермут"
"633",43,2,"Мартини или вермут"
"634",27,2,"Пиво"
"635",71.5,1,"Пиво"
"636",29.5,1,"Коктейли"
"637",29.5,1,"Пиво"
"638",29.5,1,"Коньяк или виски"
"639",82.5,1,"Пиво"
"640",82.5,1,"Водка"
"641",77,2,"Пиво"
"642",77,2,"Коньяк или виски"
"643",68.5,1,"Пиво"
"644",68.5,1,"Водка"
"645",64.5,2,"Вино"
"646",32,1,"Пиво"
"647",32,1,"Коньяк или виски"
"648",32,1,"Водка"
"649",29.5,1,"Пиво"
"650",29.5,1,"Коньяк или виски"
"651",29.5,1,"Водка"
"652",57.5,2,"Мартини или вермут"
"653",67.5,2,"Самогон"
"654",67.5,2,"Вино"
"655",43,1,"Коньяк или виски"
"656",43,1,"Водка"
"657",59,2,"Пиво"
"658",61.5,1,"Пиво"
"659",61.5,1,"Водка"
"660",34,1,"Пиво"
"661",34,1,"Водка"
"662",65.5,1,"Пиво"
"663",65.5,1,"Водка"
"664",43,1,"Пиво"
"665",43,1,"Коньяк или виски"
"666",43,1,"Самогон"
"667",43,1,"Вино"
"668",54.5,2,"Пиво"
"669",54.5,2,"Водка"
"670",21,1,"Пиво"
"671",53.5,2,"Пиво"
"672",47.5,1,"Пиво"
"673",59,1,"Водка"
"674",66,1,"Пиво"
"675",66,1,"Водка"
"676",53.5,1,"Водка"
"677",47,1,"Пиво"
"678",47,1,"Водка"
"679",47,1,"Самогон"
"680",51,2,"Пиво"
"681",51,2,"Мартини или вермут"
"682",55.5,1,"Пиво"
"683",55.5,1,"Коньяк или виски"
"684",21.5,2,"Пиво"
"685",51.5,2,"Водка"
"686",51.5,2,"Самогон"
"687",51.5,2,"Мартини или вермут"
"688",58.5,1,"Водка"
"689",58.5,1,"Самогон"
"690",25.5,1,"Пиво"
"691",54,1,"Водка"
"692",49,1,"Пиво"
"693",21.5,1,"Пиво"
"694",21.5,1,"Водка"
"695",49,1,"Пиво"
"696",49,1,"Водка"
"697",49,1,"Самогон"
"698",46,2,"Водка"
"699",49,1,"Пиво"
"700",49,1,"Водка"
"701",76.5,1,"Водка"
"702",46,2,"Пиво"
"703",46,2,"Водка"
"704",38.5,2,"Пиво"
"705",38.5,2,"Мартини или вермут"
"706",44.5,2,"Коньяк или виски"
"707",21.5,1,"Пиво"
"708",50,2,"Пиво"
"709",50,2,"Коньяк или виски"
"710",50,2,"Водка"
"711",68,1,"Водка"
"712",54.5,2,"Пиво"
"713",54.5,2,"Мартини или вермут"
"714",50,1,"Пиво"
"715",77.5,2,"Коньяк или виски"
"716",80.5,1,"Коньяк или виски"
"717",69.5,1,"Коньяк или виски"
"718",85.5,2,"Коньяк или виски"
"719",85.5,2,"Водка"
"720",44.5,2,"Пиво"
"721",47.5,1,"Коньяк или виски"
"722",51,1,"Водка"
"723",27.5,2,"Мартини или вермут"
"724",72.5,2,"Вино"
"725",72.5,2,"Мартини или вермут"
"726",42,1,"Пиво"
"727",47,1,"Коктейли"
"728",47,1,"Пиво"
"729",47,1,"Коньяк или виски"
"730",23,1,"Пиво"
"731",59,1,"Пиво"
"732",59,1,"Коньяк или виски"
"733",55,1,"Водка"
"734",20.5,2,"Пиво"
"735",51.5,2,"Пиво"
"736",48.5,1,"Пиво"
"737",46,1,"Пиво"
"738",46,1,"Водка"
"739",49,1,"Пиво"
"740",49,1,"Водка"
"741",44,2,"Водка"
"742",61.5,1,"Пиво"
"743",61.5,1,"Водка"
"744",49.5,1,"Пиво"
"745",50,1,"Пиво"
"746",50,1,"Водка"
"747",58,2,"Пиво"
"748",63,2,"Водка"
"749",66.5,1,"Водка"
"750",68.5,1,"Пиво"
"751",68.5,1,"Водка"
"752",66,2,"Самогон"
"753",67,1,"Самогон"
"754",32,2,"Пиво"
"755",66,1,"Пиво"
"756",43,2,"Пиво"
"757",72.5,2,"Коньяк или виски"
"758",45.5,1,"Пиво"
"759",34,1,"Пиво"
"760",58.5,1,"Пиво"
"761",58.5,1,"Самогон"
"762",36.5,2,"Пиво"
"763",60,2,"Мартини или вермут"
"764",64,1,"Коньяк или виски"
