"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"350","Red Zinger (MC 257)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",10.21546436,10.2154643611753,"<$20",16.95,17.11722752,19.7703977856,350,8816.2688859024
"351","WLN Bakken Williams Perimeter Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",30.63037296,30.6303729593842,"<$20",91.0006168524197,17.1544702370682,19.8134131238138,351,8853.0253334544
"352","WLN Three Forks Williams Perimeter Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",6.455502048,6.45550204840869,"<$20",18.2960899752204,17.1544702370682,19.8134131238138,352,8860.771935912
"353","Claiborne (MC 794)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",8.319412264,8.319412263836,"<$20",29.64,17.279173365,19.957445236575,353,8870.7552306288
"354","WLN Bakken Northern Mountrail Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",50.61654967,50.6165496706981,"<$20",149.55853633142,17.7022423351391,20.4460898970857,354,8931.4950902328
"355","WLN Three Forks Northern Mountrail Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",29.09427187,29.0942718669833,"<$20",86.6350609880331,17.7022423351391,20.4460898970857,355,8966.4082164768
"356","MID Midland Basin Other Hz OGS TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",117.3709463,117.370946280515,"<$20",294.232619345639,17.7582238769301,20.5107485778543,356,9107.2533520368
"357","MID Midland Basin Other OGS TX","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",282.6184126,282.618412602942,"<$20",1021.40457468344,17.7582238769301,20.5107485778543,357,9446.3954471568
"358","PRV SUSSEX XL SHO WY","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.104028506,0.104028506243917,"<$20",0.349328210410351,17.7808791825822,20.5369154558824,358,9446.520281364
"359","LOS Los Angeles Basin Other OGS CA","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",32.35414167,32.3541416690753,"<$20",112.06036308741,17.8174143823279,20.5791136115887,359,9485.345251368
"360","PRV Mowry Hz SHO WY","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.048957704,0.0489577044600551,"<$20",0.166936673167342,17.8337699999999,20.5980043499999,360,9485.4040006128
"361","DJU Niobrara Southeast Extension Hz SHO CO","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",4.58045116,4.58045115985393,"<$20",12.5788459979667,18.0855108225697,20.888765000068,361,9490.9005420048
